study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB14744	SAMEA4082829	ERS1253939	ERX1606292	ERR1535464	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535464/ERR1535464.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/004/ERR1535464/ERR1535464.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535464	ftp.sra.ebi.ac.uk/vol1/err/ERR153/004/ERR1535464		
PRJEB14744	SAMEA4082830	ERS1253940	ERX1606293	ERR1535465	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535465/ERR1535465.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/005/ERR1535465/ERR1535465.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535465	ftp.sra.ebi.ac.uk/vol1/err/ERR153/005/ERR1535465		
PRJEB14744	SAMEA4082831	ERS1253941	ERX1606294	ERR1535466	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535466/ERR1535466.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/006/ERR1535466/ERR1535466.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535466	ftp.sra.ebi.ac.uk/vol1/err/ERR153/006/ERR1535466		
PRJEB14744	SAMEA4082832	ERS1253942	ERX1606295	ERR1535467	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535467/ERR1535467.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/007/ERR1535467/ERR1535467.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/Alx1_ESZ_TAAAGC20NCG_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535467	ftp.sra.ebi.ac.uk/vol1/err/ERR153/007/ERR1535467		
PRJEB14744	SAMEA4082833	ERS1253943	ERX1606296	ERR1535468	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535468/ERR1535468.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/008/ERR1535468/ERR1535468.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535468	ftp.sra.ebi.ac.uk/vol1/err/ERR153/008/ERR1535468		
PRJEB14744	SAMEA4082834	ERS1253944	ERX1606297	ERR1535469	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535469/ERR1535469.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/009/ERR1535469/ERR1535469.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535469	ftp.sra.ebi.ac.uk/vol1/err/ERR153/009/ERR1535469		
PRJEB14744	SAMEA4082835	ERS1253945	ERX1606298	ERR1535470	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535470/ERR1535470.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/000/ERR1535470/ERR1535470.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_3.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1535470	ftp.sra.ebi.ac.uk/vol1/err/ERR153/000/ERR1535470		
PRJEB14744	SAMEA4082836	ERS1253946	ERX1606299	ERR1535471	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535471/ERR1535471.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/001/ERR1535471/ERR1535471.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESAE_TGCAAG20NGA_4.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1535471	ftp.sra.ebi.ac.uk/vol1/err/ERR153/001/ERR1535471		
PRJEB14744	SAMEA4082837	ERS1253947	ERX1606300	ERR1535472	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535472/ERR1535472.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/002/ERR1535472/ERR1535472.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_1.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1535472	ftp.sra.ebi.ac.uk/vol1/err/ERR153/002/ERR1535472		
PRJEB14744	SAMEA4082838	ERS1253948	ERX1606301	ERR1535473	32630	synthetic construct	Illumina HiSeq 2000	SINGLE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535473/ERR1535473.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR153/003/ERR1535473/ERR1535473.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/ERA675/ERA675819/fastq/ALX3_ESZ_TGTAAA20NAAG_2.txt.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1535473	ftp.sra.ebi.ac.uk/vol1/err/ERR153/003/ERR1535473		
