shape,levels_type,levels_str,levels
MGW,other2,S4.250M5.400H5.700X,S|4.25|M|5.4|H|5.7|X
HelT,other2,S32.000M34.500H35.500X,S|32|M|34.5|H|35.5|X
ProT,other2,S-10.500M-5.000H,S|-10.5|M|-5|H
Roll,other2,S1.200H,S|1.2|H
MGW,other1,S4.080M5.130H5.750X,S|4.08|M|5.13|H|5.75|X
HelT,other1,S31.900M34.000H36.000X,S|31.9|M|34|H|36|X
ProT,other1,S-8.000M-5.500H,S|-8|M|-5.5|H
Roll,other1,S-3.000M1.200H5.000X,S|-3|M|1.2|H|5|X
MGW,publish,S4.000M4.600H5.600X,S|4|M|4.65|H|5.67|X
HelT,publish,S32.040M33.470H35.950X,S|32.04|M|33.47|H|35.95|X
ProT,publish,S-9.320M-4.990H,S|-9.32|M|-4.99|H
Roll,publish,S-3.920M-1.300H1.300X,S|-3.92|M|-1.3|H|1.3|X
